tag,month,day,place,latitude,longitude,date
경기 확진자,8,23,메가커피 부천도당점,37.51993611866158,126.78948435669402,8/23
경기 확진자,8,26,금강공인중개사사무소,37.4689634440902,126.82174054470102,8/26
경기 확진자,8,25,큰나무식당,37.51063297860319,126.780900900109,8/25
제주 확진자,8,26,루프탑정원,33.28347027859351,126.74528989324288,8/26
제주 확진자,8,27,루프탑정원,33.28347027859351,126.74528989324288,8/27
제주 확진자,8,27,CU 서귀태신로점,33.286573719692605,126.745301275218,8/27
경기도 확진,8,16,북성교회,37.88876016857549,127.55173569530902,8/16
경기도 확진,8,17,새희망의원,37.8297382740614,127.513361458504,8/17
경기도 확진,8,19,가평군농협하나로마트 북면점,37.88386159019401,127.54888460687901,8/19
경기도 확진,8,20,조일약국,37.83465259962769,127.50949684850902,8/20
경기도 확진,8,20,가평군농협하나로마트,37.830142001411005,127.51416393271901,8/20
경기도 확진,8,21,가평군농협 북면지점,37.8870991620412,127.550127265136,8/21
경기도 확진,8,21,르봉뺑,37.83281232499151,127.51003853412702,8/21
경기도 확진,8,18,북성교회(8/12~18),37.88876016857549,127.55173569530902,8/18
경기도 확진,8,15,평화식당,37.88612657017429,127.54965168289075,8/15
경기도 확진,8,28,햇살병원,37.5384818380413,127.204629788519,8/28
경기도 확진,8,20,탐라은갈치(18~20),37.52075743740561,127.18259974505999,8/20
경기도 확진,8,19,수원백병원(8.18~19),37.27900384554839,127.01634316576146,8/19
경기도 확진,8,12,능실초등학교,37.25973790641349,126.955909269845,8/12
경기도 확진,8,17,연세이비인후과의원(13일방문),37.2724438755673,126.95949176905698,8/17
경기도 확진,8,20,아주대학교병원,37.27958828328031,127.04761136661999,8/20
경기도 확진,8,20,정자동주교좌성당,37.3106646708904,126.98494724576,8/20
경기도 확진,8,21,아주대학교병원,37.27958828328031,127.04761136661999,8/21
경기도 확진,8,22,장안속내과(8/18~20),37.309371209281586,126.98877379765199,8/22
경기도 확진,8,18,미스터오징어 수원망포점,37.239585449497284,127.056155856357,8/18
